transaction_id,transaction_date,transaction_amount,actual_amount,transaction_status
43a36f4f-5cf7-4090-bc14-c0df340388ed,2023-08-07 09:45:26,311.62,412.72,Complete
c9248ba4-5b48-4392-a4a5-2d8f6aa2623f,2023-12-03 03:16:55,249.58,441.31,Ongoing
049bffaf-8fe6-4677-a22f-680ef5d1369e,2023-07-09 18:30:17,287.59,466.02,Ongoing
10a65623-c500-45d2-b4da-c58c540d3c86,2023-01-05 07:08:39,180.75,88.22,Ongoing
60b8aa70-b3f4-472a-a3fb-bc183b8e83c6,2023-11-26 12:24:27,342.32,88.99,Complete
5fd2a175-6e87-4469-9eba-6a71a1eafdbd,2023-10-21 14:44:50,154.55,143.99,Fail
6a67f993-50a5-4b75-9572-7c83f458ef79,2023-01-17 18:48:13,484.23,312.27,Ongoing
9cab7f1a-0a2c-4fa3-a90f-cf3b08ca8b63,2023-02-01 21:40:49,92.16,60.74,Fail
fd795838-bb04-4552-aa7c-24635d1741f0,2023-04-19 23:38:01,223.22,472.93,Complete
80af8c14-fdfb-4c98-b0d2-8b9db82f4037,2023-01-08 09:13:56,129.77,219.6,Complete
7582c4cc-74b2-44c6-98b4-8fc335526da0,2023-07-19 22:16:58,277.66,368.13,Fail
ad83644e-e326-484a-a693-a0e238e7a932,2023-11-24 01:52:07,303.22,439.41,Fail
c6fa4cfb-c90c-4602-9007-3f92cb36052f,2023-04-13 00:49:29,88.65,410.12,Complete
07c0893f-7fec-4e34-a267-b475759c3eaa,2023-01-03 01:16:06,144.7,408.15,Ongoing
b4e9effd-33e5-4a87-b68d-c95b7fdd2bea,2023-11-30 03:16:55,80.38,162.35,Ongoing
2d25dae1-ff86-4913-8768-f6d9b19118dd,2023-01-04 16:54:25,378.33,131.21,Complete
56f8f06a-588f-45d9-b11f-48ddc44de58d,2023-07-04 20:33:48,212.04,315.33,Fail
d10d02c4-7e77-4fd4-aeb8-a3864667f64b,2023-09-02 18:47:07,354.82,343.23,Complete
a7b53959-caaa-443f-aa1c-09a1e8ed4ab7,2023-12-27 22:59:13,363.99,473.84,Ongoing
96e9e79f-7e09-41d3-af4f-99593d2eaead,2023-03-02 10:24:10,311.81,141.18,Ongoing
fb56cec0-274a-431f-88b5-60de38aa19b4,2023-12-09 15:51:48,398.39,283.05,Complete
5e471d1d-52c5-4f8f-9ded-f8d49716039b,2023-04-12 04:31:09,296.19,112.48,Fail
cef250f2-9aaf-4d3b-bfe1-bf6934b9b541,2023-11-27 11:04:21,284.65,487.83,Ongoing
2aa46ba7-544b-42b7-9261-7e4aa66cafbe,2023-09-30 14:53:34,295.3,323.8,Fail
35ff85ea-9ad9-4746-a022-f830d636fa6e,2023-02-07 18:46:47,320.96,170.94,Ongoing
0a8c6aae-833d-4708-8e48-45a72ed08cdd,2023-04-30 09:14:23,136.73,474.16,Fail
b5736e0c-cfb9-42c0-8e61-c4dc43c5a93b,2023-01-19 11:03:22,380.96,129.06,Ongoing
6f906ff1-63c8-4457-9f40-11215abe4e82,2023-08-15 23:24:39,267.52,310.7,Fail
892b3fab-798c-4713-b7c5-e7b35658b69f,2023-02-10 21:57:41,93.54,400.12,Fail
b1762ee1-80e1-4a12-9b42-e53b5e93e4ba,2023-07-06 08:56:22,482.99,345.74,Complete
